state,university.college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
VIRGINIA,Norfolk State University,NA,6027,0,0,0,NA,0,0,17,1,13,3,5
VIRGINIA,Northern Virginia Community College,NA,51487,1,0,0,NA,0,1,56,1,55,0,0
VIRGINIA,Old Dominion University,NA,24932,19,0,4,NA,5,10,258,9,246,3,0
VIRGINIA,Radford University,NA,9798,9,0,7,NA,2,0,83,3,80,0,6
VIRGINIA,Richard Bland College,NA,1525,2,0,2,NA,0,0,20,3,17,0,0
VIRGINIA,University of Richmond,NA,4182,7,0,7,NA,0,0,109,20,84,5,3
VIRGINIA,University of Virginia,NA,23732,10,0,1,NA,3,6,189,30,157,2,0
VIRGINIA,University of Virginia's College at Wise,NA,2183,0,0,0,NA,0,0,19,6,13,0,0
VIRGINIA,Virginia Commonwealth University,NA,30848,14,0,3,NA,3,8,447,14,426,7,1
VIRGINIA,Virginia Military Institute,NA,1700,0,0,0,NA,0,0,31,12,19,0,0
VIRGINIA,Virginia Polytechnic Institute and State University,NA,31224,7,0,4,NA,1,2,168,34,131,3,1
VIRGINIA,Virginia State University,NA,5025,11,0,2,NA,4,5,78,21,55,2,0
VIRGINIA,Virginia Western Community College,NA,8632,0,0,0,NA,0,0,2,0,2,0,0
WASHINGTON,Central Washington University,NA,11799,8,0,7,NA,1,0,96,6,85,5,0
WASHINGTON,Eastern Washington University,NA,13453,6,0,5,NA,1,0,63,17,43,3,1
WASHINGTON,Evergreen State College,NA,4219,4,0,4,NA,0,0,104,19,80,5,0
WASHINGTON,University of Washington,NA,44784,7,0,3,NA,2,2,670,38,620,12,1
WASHINGTON,Washington State University:,Pullman,28686,8,0,6,NA,1,1,175,28,144,3,1
WASHINGTON,Washington State University:,Vancouver6,NA,0,0,0,NA,0,0,12,1,11,0,0
WASHINGTON,Western Washington University,NA,15060,3,0,1,NA,1,1,127,11,114,2,0
WEST VIRGINIA,Potomac State College,NA,1540,3,0,0,NA,0,3,4,3,1,0,0
WEST VIRGINIA,Shepherd University,NA,4041,3,0,3,NA,0,0,12,1,11,0,0
WEST VIRGINIA,West Virginia State University,NA,2884,2,0,2,NA,0,0,29,5,22,2,1
WEST VIRGINIA,West Virginia Tech,NA,1261,1,0,0,NA,0,1,5,1,4,0,0
WEST VIRGINIA,West Virginia University,NA,29175,22,0,2,NA,2,18,102,7,94,1,0
WISCONSIN,University of Wisconsin:,Eau Claire,10721,0,0,NA,0,0,0,83,0,83,0,0
WISCONSIN,University of Wisconsin:,Green Bay,6927,1,1,NA,0,0,0,12,0,12,0,0
WISCONSIN,University of Wisconsin:,La Crosse,10669,1,0,NA,1,0,0,79,0,79,0,0
WISCONSIN,University of Wisconsin:,Madison,42598,7,0,NA,3,1,3,244,18,225,1,0
WISCONSIN,University of Wisconsin:,Milwaukee,27596,5,0,NA,4,1,0,181,17,164,0,1
WISCONSIN,University of Wisconsin:,Oshkosh,14541,7,0,NA,7,0,0,63,5,58,0,5
WISCONSIN,University of Wisconsin:,Parkside,4543,0,0,NA,0,0,0,23,4,19,0,0
WISCONSIN,University of Wisconsin:,Platteville,8901,5,0,5,NA,0,0,58,5,52,1,0
WISCONSIN,University of Wisconsin:,River Falls,6198,1,0,1,NA,0,0,55,3,51,1,1
WISCONSIN,University of Wisconsin:,Stevens Point,9330,1,0,NA,1,0,0,47,1,46,0,1
WISCONSIN,University of Wisconsin:,Stout,9394,5,0,NA,3,0,2,70,8,62,0,0
WISCONSIN,University of Wisconsin:,Superior,2600,0,0,NA,0,0,0,16,0,15,1,0
WISCONSIN,University of Wisconsin:,Whitewater,12176,3,0,NA,1,1,1,62,9,51,2,0
WYOMING,Northern Wyoming Community College District,NA,4374,3,0,1,NA,0,2,1,0,1,0,0
WYOMING,University of Wyoming,NA,12820,1,0,0,NA,0,1,156,11,144,1,0
